run_index,spec_name,spec_file,iteration_index,target_phase,seed,success,phase,stage_status,returncode,timed_out,started_at,ended_at,duration_s,stdout_bytes,stderr_bytes,combined_bytes,combined_lines,estimated_output_tokens,log_path,log_size_bytes,plan_output_size_bytes,cpu_user_s,cpu_system_s,cpu_total_s,max_rss_bytes,minor_page_faults,major_page_faults,input_blocks,output_blocks,voluntary_context_switches,involuntary_context_switches,session_id,validation_ok
1,dataset-segmented-firewall-pivot_run02,/Users/jcacosta/Documents/GitHub/scenarioforge-eval/dataset-resolved/53-segmented-firewall-pivot-run02.spec.yaml,1,execute,793857018,True,scenario-xml,PASS,,False,2026-08-11T23:59:52Z,2026-08-11T23:59:53Z,0.614887,0,0,0,0,0,,0,0,0.458248,0.0706,0.528848,105545728,8358,9,0,0,865,102,,
1,dataset-segmented-firewall-pivot_run02,/Users/jcacosta/Documents/GitHub/scenarioforge-eval/dataset-resolved/53-segmented-firewall-pivot-run02.spec.yaml,1,execute,793857018,True,preview-plan,PASS,0,False,2026-08-11T23:59:53Z,2026-08-11T23:59:54Z,0.589873,102326,0,102326,3321,24800,/Users/jcacosta/Documents/GitHub/scenarioforge-eval/verify-supply-fix/dataset-segmented-firewall-pivot_run02/preview-plan.log,102326,102326,0.422473,0.080122,0.502595,111493120,12654,2,0,0,969,104,,
1,dataset-segmented-firewall-pivot_run02,/Users/jcacosta/Documents/GitHub/scenarioforge-eval/dataset-resolved/53-segmented-firewall-pivot-run02.spec.yaml,1,execute,793857018,True,flag-sequencing,PASS,0,False,2026-08-12T00:06:03Z,2026-08-12T00:06:52Z,49.176967,71395,15556,86952,1695,21286,/Users/jcacosta/Documents/GitHub/scenarioforge-eval/verify-supply-fix/dataset-segmented-firewall-pivot_run02/flag-sequencing.log,86952,70785,10.54359,1.016586,11.560176,139870208,14412,21,0,0,1628,2267,,
1,dataset-segmented-firewall-pivot_run02,/Users/jcacosta/Documents/GitHub/scenarioforge-eval/dataset-resolved/53-segmented-firewall-pivot-run02.spec.yaml,1,execute,793857018,True,execute,PASS,0,False,2026-08-12T00:06:52Z,2026-08-12T00:12:57Z,365.232957,165415,0,165415,1002,47360,/Users/jcacosta/Documents/GitHub/scenarioforge-eval/verify-supply-fix/dataset-segmented-firewall-pivot_run02/execute.log,165415,0,14.030823,1.430158,15.460981,139870208,14021,25,0,0,1911,9959,1,True
